Date,Open,High,Low,Close,Volume,Adj Close,Tmr Close,No.,High_Low,Close_Open
2/1/2004,1768.78,1795.63,1768.77,1791.35,148575200,1791.35,1828.66,1,26.86,22.57
5/1/2004,1797.75,1831.63,1782.97,1828.66,207981200,1828.66,1828.72,2,48.66,30.91
6/1/2004,1838.41,1856.91,1824.78,1828.72,199559800,1828.72,1835.96,3,32.13,-9.69
7/1/2004,1821.27,1839.94,1820.34,1835.96,667266000,1835.96,1841.68,4,19.6,14.69
8/1/2004,1838.04,1853.8,1837.04,1841.68,287469400,1841.68,1852.53,5,16.76,3.64
9/1/2004,1859.92,1867.63,1848.86,1852.53,290463000,1852.53,1842.49,6,18.77,-7.39
12/1/2004,1845.84,1852.07,1837.82,1842.49,176869200,1842.49,1861.56,7,14.25,-3.35
13/1/2004,1849.56,1861.56,1844.31,1861.56,258915200,1861.56,1860.53,8,17.25,12
14/1/2004,1856.5,1872.27,1853.9,1860.53,318576000,1860.53,1829.98,9,18.37,4.03
15/1/2004,1863.53,1867.29,1828.08,1829.98,297328600,1829.98,1836.87,10,39.21,-33.55
16/1/2004,1835,1845.9,1833.09,1836.87,168044600,1836.87,1849.21,11,12.81,1.87
19/1/2004,1848.88,1852.15,1833.73,1849.21,109298400,1849.21,1865.44,12,18.42,0.33
20/1/2004,1855.18,1868.23,1849.21,1865.44,129828800,1865.44,1889.56,13,19.02,10.26
21/1/2004,1879.54,1893.99,1871.05,1889.56,142273100,1889.56,1899.98,14,22.94,10.02
26/1/2004,1901.3,1905.16,1883.84,1899.98,206612400,1899.98,1904.55,15,21.32,-1.32
27/1/2004,1909,1912.93,1888.63,1904.55,155241600,1904.55,1862.84,16,24.3,-4.45
28/1/2004,1899.89,1899.89,1859.4,1862.84,137608200,1862.84,1842.32,17,40.49,-37.05
29/1/2004,1849.52,1849.52,1834.6,1842.32,161401200,1842.32,1848.36,18,14.92,-7.2
30/1/2004,1853.38,1859.58,1841.14,1848.36,120572700,1848.36,1845.13,19,18.44,-5.02
3/2/2004,1835.12,1847.04,1817.46,1845.13,184695200,1845.13,1834.64,20,29.58,10.01
4/2/2004,1844.83,1853.54,1830.05,1834.64,134531600,1834.64,1828.66,21,23.49,-10.19
5/2/2004,1832.2,1838.44,1824.93,1828.66,147266000,1828.66,1854.41,22,13.51,-3.54
6/2/2004,1844.34,1864.23,1842.48,1854.41,194285200,1854.41,1888.2,23,21.75,10.07
9/2/2004,1869.22,1888.2,1865.16,1888.2,159597400,1888.2,1872.68,24,23.04,18.98
10/2/2004,1888.86,1888.94,1868.71,1872.68,249948400,1872.68,1868.51,25,20.23,-16.18
11/2/2004,1874.59,1880.23,1863.24,1868.51,159259400,1868.51,1862.94,26,16.99,-6.08
12/2/2004,1883.94,1883.94,1858.21,1862.94,175088800,1862.94,1864.07,27,25.73,-21
13/2/2004,1862.69,1871.12,1859.56,1864.07,150988800,1864.07,1861.39,28,11.56,1.38
16/2/2004,1864.19,1867.3,1857.26,1861.39,144753200,1861.39,1893.47,29,10.04,-2.8
17/2/2004,1868.98,1893.47,1868.79,1893.47,125237400,1893.47,1888.51,30,24.68,24.49
18/2/2004,1900.56,1902.87,1888.33,1888.51,181064600,1888.51,1889.96,31,14.54,-12.05
19/2/2004,1888.21,1894.78,1884.98,1889.96,145499000,1889.96,1891.78,32,9.8,1.75
20/2/2004,1889.61,1894.25,1885.86,1891.78,88624000,1891.78,1884.53,33,8.39,2.17
23/2/2004,1890.86,1892.7,1879.71,1884.53,94078400,1884.53,1878.41,34,12.99,-6.33
24/2/2004,1883.17,1886.14,1874.43,1878.41,120938000,1878.41,1868.28,35,11.71,-4.76
25/2/2004,1878.54,1880.08,1864.04,1868.28,105539800,1868.28,1888.7,36,16.04,-10.26
26/2/2004,1875.66,1888.7,1873.55,1888.7,101741200,1888.7,1888.63,37,15.15,13.04
27/2/2004,1893,1895.43,1881.29,1888.63,169944800,1888.63,1891.73,38,14.14,-4.37
1/3/2004,1898.09,1904.91,1887.27,1891.73,167542800,1891.73,1892.93,39,17.64,-6.36
2/3/2004,1904.47,1904.94,1876.9,1892.93,190222200,1892.93,1880.58,40,28.04,-11.54
3/3/2004,1891.19,1896.27,1871.24,1880.58,176080800,1880.58,1893.01,41,25.03,-10.61
4/3/2004,1884.36,1893.96,1883.68,1893.01,183129200,1893.01,1891.54,42,10.28,8.65
5/3/2004,1896.91,1897.26,1885.11,1891.54,150940800,1891.54,1888.35,43,12.15,-5.37
8/3/2004,1902.19,1902.33,1883.64,1888.35,96967400,1888.35,1885.2,44,18.69,-13.84
9/3/2004,1881.6,1893.38,1872.97,1885.2,178664800,1885.2,1875.02,45,20.41,3.6
10/3/2004,1880.41,1880.88,1859.97,1875.02,149287200,1875.02,1847.78,46,20.91,-5.39
11/3/2004,1857.98,1858.75,1842.54,1847.78,150708400,1847.78,1835.08,47,16.21,-10.2
12/3/2004,1821.54,1841.35,1813.49,1835.08,166185400,1835.08,1838.23,48,27.86,13.54
15/3/2004,1846.97,1851.17,1835.78,1838.23,115265000,1838.23,1826.32,49,15.39,-8.74
